Date,Close,High,Low,Open,Volume
2025-10-24,6827.0,6841.25,6776.5,6778.25,1279387
2025-10-27,6908.25,6916.25,6865.75,6881.0,1191278
2025-10-28,6925.75,6944.75,6901.5,6914.0,1221838
2025-10-29,6922.75,6952.0,6882.25,6929.25,1536995
2025-10-30,6855.5,6953.75,6851.0,6906.5,1817621
2025-10-31,6874.0,6918.5,6843.5,6897.0,1764133
2025-11-03,6882.75,6909.5,6849.5,6878.0,0
2025-11-04,6801.75,6884.0,6786.25,6884.0,1702971
2025-11-05,6825.25,6857.75,6748.5,6801.0,1467734
2025-11-06,6747.5,6843.5,6733.5,6828.5,1860279
2025-11-07,6753.75,6772.0,6655.5,6763.0,2127595
2025-11-10,6856.75,6865.75,6772.0,6788.0,1597305
2025-11-11,6871.5,6880.0,6830.5,6857.25,1348763
2025-11-12,6875.75,6900.5,6852.0,6874.0,1402032
2025-11-13,6760.0,6892.5,6746.0,6873.25,2087220
2025-11-14,6755.25,6795.5,6670.5,6762.75,2105234
2025-11-17,6692.0,6801.5,6658.5,6764.75,1883810
2025-11-18,6639.75,6708.75,6594.0,6696.5,2514985
2025-11-19,6661.5,6709.0,6613.25,6630.75,2041130
2025-11-20,6557.5,6791.25,6550.5,6697.5,2987357
2025-11-21,6620.25,6677.5,6525.0,6560.0,2489764
